0;6;32;236;ayy;x
1;6;31;236;ayy2;x
2;16;31;236;ayy2;x
3;19;31;248;ayy2;x
4;111;14;244;ayy2;x
5;112;14;248;ayy2;x
6;23;31;244;ayy2;x
7;5;31;232;ayy2;x
8;62;2;248;ayy2;x
9;22;0;240;ayy2;x
10;5;40;232;ayy2;x
11;32;2;248;ayy2;x
12;43;120;88;ayy;x
13;186;237;138;ayy;x
14;85;144;226;ayy;x
15;85;87;181;ayy;x
16;128;105;194;ayy;x
17;0;66;200;ayy;x
18;134;189;14;ayy;x
19;126;174;134;ayy;x
20;98;0;244;ayy2;x
21;95;0;232;ayy2;x
22;87;0;240;ayy2;x
23;91;0;236;ayy2;x
24;125;14;240;ayy2;x
25;82;0;240;ayy2;x
26;126;14;244;ayy2;x
27;67;0;240;ayy2;x
28;66;0;236;ayy2;x
29;64;0;248;ayy2;x
30;116;30;248;ayy2;x
31;111;30;248;ayy2;x
32;114;30;240;ayy2;x
33;117;30;232;ayy2;x
34;106;30;248;ayy2;x
35;114;14;236;ayy3;x
36;176;129;167;ayy;x
37;53;171;46;ayy;x
38;45;133;245;ayy;x
39;233;187;190;ayy;x
40;3;138;190;ayy;x
41;118;0;244;ayy2;x
42;90;0;232;ayy2;x
43;60;37;71;ayy;x
44;222;98;133;ayy;x
45;127;33;9;ayy;x
46;117;32;240;ayy3;x
47;70;0;232;ayy2;x
48;139;166;112;ayy;x
49;5;6;236;ayy3;x
50;99;236;160;ayy;x
51;94;0;248;ayy2;x
52;143;45;200;ayy;x
53;88;218;19;ayy;x
54;112;52;223;ayy;x
55;96;0;236;ayy2;x
56;3;123;60;ayy;x
57;123;157;245;ayy;x
58;24;192;248;ayy;x
59;117;80;238;ayy;x
60;86;66;253;ayy;x
61;33;2;232;ayy2;x
62;30;136;115;ayy;x
63;42;198;51;ayy;x
64;42;189;93;ayy;x
65;21;194;90;ayy;x
66;132;186;189;ayy;x
67;55;0;232;ayy3;x
68;105;161;117;ayy;x
69;130;107;206;ayy;x
70;140;52;103;ayy;x
71;208;126;89;ayy;x
72;135;160;111;ayy;x
73;223;202;15;ayy;x
74;233;87;17;ayy;x
75;7;201;195;ayy;x
76;102;32;240;ayy2;x
77;117;0;240;ayy2;x
78;72;31;240;ayy2;x
79;239;34;68;ayy;x
80;79;0;248;ayy2;x
81;97;0;240;ayy2;x
82;71;202;35;ayy;x
83;120;85;40;ayy;x
84;135;27;39;ayy;x
85;174;69;42;ayy;x
86;6;177;60;ayy;x
87;185;148;69;ayy;x
88;51;102;208;ayy;x
89;135;87;49;ayy;x
90;51;90;193;ayy;x
91;178;90;224;ayy;x
92;7;31;240;ayy2;x
93;196;39;144;ayy;x
94;125;168;205;ayy;x
95;45;183;28;ayy;x
96;173;54;7;ayy;x
97;93;210;226;ayy;x
98;113;40;236;ayy2;x
99;32;31;188;ayy;x
100;109;0;248;ayy2;x
101;156;230;63;ayy;x
102;105;30;244;ayy2;x
103;104;30;240;ayy2;x
104;90;162;51;ayy;x
105;90;138;181;ayy;x
106;74;37;53;ayy;x
107;122;2;240;ayy2;x
108;18;31;244;ayy2;x
109;132;156;184;ayy;x
110;48;135;53;ayy;x
111;136;157;48;ayy;x
112;123;118;210;ayy;x
113;135;36;34;ayy;x
114;33;0;244;ayy2;x
115;25;31;232;ayy2;x
116;0;31;232;ayy2;x
117;8;40;244;ayy2;x
118;180;50;229;ayy;x
119;8;116;242;ayy;x
120;132;147;134;ayy;x
121;115;30;244;ayy2;x
122;96;30;248;ayy2;x
123;102;30;232;ayy2;x
124;135;204;154;ayy;x
125;201;209;43;ayy;x
126;114;40;240;ayy2;x
127;48;99;168;ayy;x
128;51;147;147;ayy;x
129;118;128;223;ayy;x
130;115;134;99;ayy;x
131;190;226;218;ayy;x
132;233;57;128;ayy;x
133;5;102;15;ayy;x
134;10;95;163;ayy;x
135;6;117;50;ayy;x
136;173;99;142;ayy;x
137;81;231;76;ayy;x
138;155;110;18;ayy;x
139;48;90;173;ayy;x
140;98;63;200;ayy;x
141;59;2;236;ayy2;x
142;91;174;226;ayy;x
143;123;231;0;ayy;x
144;197;40;191;ayy;x
145;239;123;184;ayy;x
146;100;128;222;ayy;x
147;60;12;240;ayy2;x
148;54;0;248;ayy2;x
149;174;189;62;ayy;x
150;136;163;72;ayy;x
151;204;198;20;ayy;x
152;90;0;66;ayy;x
153;90;42;31;ayy;x
154;247;126;5;ayy;x
155;113;66;24;ayy;x
156;176;179;65;ayy;x
157;175;40;195;ayy;x
158;109;197;235;ayy;x
159;96;81;251;ayy;x
160;11;85;35;ayy;x
161;197;234;193;ayy;x
162;131;36;154;ayy;x
163;5;132;170;ayy;x
164;17;39;52;ayy;x
165;9;72;90;ayy;x
166;133;195;194;ayy;x
167;122;30;232;ayy2;x
168;2;101;145;ayy;x
169;115;14;240;ayy2;x
170;78;0;244;ayy2;x
171;62;0;240;ayy2;x
172;73;166;49;ayy;x
173;248;227;153;ayy;x
174;153;174;238;ayy;x
175;166;173;193;ayy;x
176;108;189;51;ayy;x
177;89;141;136;ayy;x
178;47;138;8;ayy;x
179;93;0;244;ayy2;x
180;236;237;38;ayy;x
181;119;113;68;ayy;x
182;187;232;40;ayy;x
183;89;33;26;ayy;x
184;175;198;67;ayy;x
185;9;63;195;ayy;x
186;236;197;69;ayy;x
187;121;14;244;ayy2;x
188;9;123;205;ayy;x
189;8;51;20;ayy;x
190;203;178;102;ayy;x
191;89;30;11;ayy;x
192;169;216;137;ayy;x
193;116;133;33;ayy;x
194;149;150;199;ayy;x
195;125;214;147;ayy;x
196;50;116;196;ayy;x
197;149;31;197;ayy;x
198;5;3;5;ayy;x
199;91;75;216;ayy;x
200;92;27;16;ayy;x
201;131;24;44;ayy;x
202;9;39;130;ayy;x
203;5;135;135;ayy;x
204;89;144;156;ayy;x
205;61;95;191;ayy;x
206;9;177;80;ayy;x
207;207;238;114;ayy;x
208;136;153;39;ayy;x
209;3;99;90;ayy;x
210;93;132;171;ayy;x
211;165;96;41;ayy;x
212;95;107;104;ayy;x
213;231;149;169;ayy;x
214;180;68;202;ayy;x
215;197;199;154;ayy;x
216;85;0;232;ayy2;x
217;89;0;248;ayy2;x
218;123;14;232;ayy2;x
219;89;21;171;ayy;x
220;165;239;116;ayy;x
221;7;141;80;ayy;x
222;89;204;166;ayy;x
223;91;192;66;ayy;x
224;89;155;11;ayy;x
225;36;100;221;ayy;x
226;175;33;62;ayy;x
227;93;93;66;ayy;x
228;129;204;106;ayy;x
229;131;210;4;ayy;x
230;47;48;48;ayy;x
231;8;42;80;ayy;x
232;7;60;165;ayy;x
233;135;199;49;ayy;x
234;77;231;146;ayy;x
235;24;151;107;ayy;x
236;12;192;1;ayy;x
237;112;60;175;ayy;x
238;105;197;123;ayy;x
239;177;42;22;ayy;x
240;5;0;40;ayy;x
241;5;141;220;ayy;x
242;170;63;130;ayy;x
243;177;99;67;ayy;x
244;135;144;39;ayy;x
245;176;186;7;ayy;x
246;87;126;231;ayy;x
247;16;150;53;ayy;x
248;118;30;236;ayy2;x
249;186;36;246;ayy;x
250;128;63;251;ayy;x
251;191;37;205;ayy;x
252;202;107;254;ayy;x
253;100;14;240;ayy2;x
254;43;0;244;ayy2;x
255;4;31;248;ayy2;x
256;112;61;1;ayy;x
257;108;0;244;ayy3;x
258;75;90;29;ayy;x
259;168;109;236;ayy;x
260;89;132;91;ayy;x
261;53;238;196;ayy;x
262;44;143;72;ayy;x
263;168;74;211;ayy;x
264;84;15;51;ayy;x
265;175;108;202;ayy;x
266;108;30;236;ayy2;x
267;109;30;240;ayy2;x
